wikidata_id,name,action,parent,group,reason
Q2159891,chopi timbila,attach,folk music,AFRICA & THE MIDDLE EAST > CENTRAL & SOUTHERN AFRICA,Mozambique.
Q7810544,tizita,attach,folk music,AFRICA & THE MIDDLE EAST > EAST AFRICA & THE HORN,Éthiopie.
Q16960459,dhaanto,attach,folk music,AFRICA & THE MIDDLE EAST > EAST AFRICA & THE HORN,Somalie.
Q1156570,dabke,attach,folk music,AFRICA & THE MIDDLE EAST > MIDDLE EAST,Levant.
Q2500734,meykhana,regroup,,ASIA > CENTRAL ASIA & THE CAUCASUS,"Déjà dans l'atlas : Azerbaïdjan, sorti de « Middle East »."
Q5431633,falak,attach,folk music,ASIA > CENTRAL ASIA & THE CAUCASUS,Tadjikistan (Pamir).
Q110606359,Central Asian throat singing,attach,folk music,ASIA > CENTRAL ASIA & THE CAUCASUS,Touva et Mongolie.
Q7273050,quyi,attach,folk music,ASIA > CHINA & MONGOLIA,Chant narratif chinois.
Q106654136,zohioliin duu,attach,folk music,ASIA > CHINA & MONGOLIA,Chanson mongole.
Q121437389,fusion gugak,attach,folk music,ASIA > KOREA,Corée.
Q124851788,changjak gugak,attach,folk music,ASIA > KOREA,Corée.
Q2278881,shima-uta,attach,min'yō,,Chant d'Okinawa.
Q13118900,Powada,attach,folk music,ASIA > SOUTH ASIA > INDIA,Ballade marathe.
Q2722134,lavani,attach,folk music,ASIA > SOUTH ASIA > INDIA,Maharashtra.
Q882985,garba,attach,folk music,ASIA > SOUTH ASIA > INDIA,Gujarat.
Q125754839,dhol tasha,attach,folk music,ASIA > SOUTH ASIA > INDIA,Maharashtra.
Q3160589,Jaipongan,attach,folk music,ASIA > SOUTHEAST ASIA > INDONESIA,Java-Ouest ; ramène kliningan.
Q20427333,ketuk tilu,attach,folk music,ASIA > SOUTHEAST ASIA > INDONESIA,Java-Ouest.
Q1737691,Kecak,attach,folk music,ASIA > SOUTHEAST ASIA > INDONESIA,Bali.
Q25458248,bantengan,attach,folk music,ASIA > SOUTHEAST ASIA > INDONESIA,Java.
Q7679165,talempong,attach,folk music,ASIA > SOUTHEAST ASIA > INDONESIA,Sumatra.
Q5276535,Dikir barat,attach,folk music,ASIA > SOUTHEAST ASIA > THE MALAY WORLD,Malaisie.
Q5295546,Dondang Sayang,attach,folk music,ASIA > SOUTHEAST ASIA > THE MALAY WORLD,Malaisie.
Q118395684,orkes gambus,attach,folk music,ASIA > SOUTHEAST ASIA > THE MALAY WORLD,Indonésie et Malaisie.
Q5202988,cải lương,attach,folk music,ASIA > SOUTHEAST ASIA > VIETNAM,Théâtre chanté vietnamien.
Q123556216,tân cổ giao duyên,attach,folk music,ASIA > SOUTHEAST ASIA > VIETNAM,Viêt Nam.
Q125544586,ngâm thơ,attach,folk music,ASIA > SOUTHEAST ASIA > VIETNAM,Poésie psalmodiée vietnamienne.
Q8812109,church music,attach,art music,SACRED TRADITIONS > CHRISTIAN,"Chant grégorien, byzantin…"
Q30324607,Ethiopian chant,attach,art music,SACRED TRADITIONS > CHRISTIAN,Éthiopie.
Q919516,troparion,attach,art music,SACRED TRADITIONS > CHRISTIAN,Hymne byzantin.
Q1337498,Kontakion,attach,art music,SACRED TRADITIONS > CHRISTIAN,Hymne byzantin.
Q574784,lauda,attach,art music,SACRED TRADITIONS > CHRISTIAN,Italie médiévale.
Q7397088,Sacred Harp,attach,art music,SACRED TRADITIONS > CHRISTIAN,Chant d'église américain.
Q781402,piyyut,attach,art music,SACRED TRADITIONS > JEWISH,Poésie liturgique juive.
Q108297215,chazzanut,attach,art music,SACRED TRADITIONS > JEWISH,Chant du hazzan.
Q1989725,nigun,attach,art music,SACRED TRADITIONS > JEWISH,Mélodie hassidique.
Q6030291,maftirim,attach,art music,SACRED TRADITIONS > JEWISH,Séfarade.
Q122616091,muzika yehudit mekorit,attach,art music,SACRED TRADITIONS > JEWISH,Musique juive contemporaine.
Q783874,nasheed,attach,art music,SACRED TRADITIONS > ISLAMIC & SUFI,Chant islamique.
Q5683605,Maddahi,attach,art music,SACRED TRADITIONS > ISLAMIC & SUFI,Iran.
Q5562953,ginans,attach,art music,SACRED TRADITIONS > ISLAMIC & SUFI,Ismaéliens d'Asie du Sud.
Q6346110,Kafi,attach,art music,SACRED TRADITIONS > ISLAMIC & SUFI,Poésie soufie du Pendjab et du Sind.
Q39046042,menzuma,attach,art music,SACRED TRADITIONS > ISLAMIC & SUFI,Éthiopie.
Q124354571,mataali,attach,art music,SACRED TRADITIONS > ISLAMIC & SUFI,Ouganda.
Q130711589,banga,attach,art music,SACRED TRADITIONS > ISLAMIC & SUFI,Tunisie.
Q48723594,Vedic chant,attach,art music,"SACRED TRADITIONS > HINDU, BUDDHIST & TAOIST",Inde.
Q854775,bhajan,attach,art music,"SACRED TRADITIONS > HINDU, BUDDHIST & TAOIST",Inde.
Q131510,mantra,attach,art music,"SACRED TRADITIONS > HINDU, BUDDHIST & TAOIST",Ramène le chant bouddhiste tibétain.
Q4371786,beompae,attach,art music,"SACRED TRADITIONS > HINDU, BUDDHIST & TAOIST",Corée (bouddhiste).
Q130391382,chöd,attach,art music,"SACRED TRADITIONS > HINDU, BUDDHIST & TAOIST",Tibet.
Q3296779,Taoist music,attach,art music,"SACRED TRADITIONS > HINDU, BUDDHIST & TAOIST",Chine.
Q1348260,Kagura,attach,art music,"SACRED TRADITIONS > HINDU, BUDDHIST & TAOIST",Japon (shintô).
Q2743,musical play,attach,art music,STAGE & CABARET,Théâtre musical.
Q918727,revue,attach,art music,STAGE & CABARET,Revue.
Q109719462,vaudeville,attach,art music,STAGE & CABARET,Vaudeville.
Q940462,music hall,attach,art music,STAGE & CABARET,Music-hall britannique.
Q111535905,cabaret music,attach,art music,STAGE & CABARET,Cabaret.
Q1937548,minstrel music,attach,art music,STAGE & CABARET,Minstrel show américain (historique).
Q6981036,Natya Sangeet,attach,art music,STAGE & CABARET,Théâtre chanté marathe.
Q6365528,kanto,attach,art music,STAGE & CABARET,Théâtre chanté turc.
Q16154635,Kabarett,attach,cabaret music,,Cabaret germanique.
Q11817196,piosenka aktorska,attach,cabaret music,,Chanson d'acteur polonaise.
Q1166158,dark cabaret,attach,cabaret music,,Ramène steampunk music.
Q5151495,comedy music,attach,cabaret music,,Chanson comique.
Q2265295,coon song,attach,minstrel music,,Chanson du minstrel show (historique).
Q211025,march,attach,art music,BANDS & MARCHES,Marche.
Q110230168,British brass band music,attach,art music,BANDS & MARCHES,Brass band britannique.
Q128631435,drum and bugle corps music,attach,art music,BANDS & MARCHES,États-Unis.
Q4752840,fife and drum corps,attach,art music,BANDS & MARCHES,États-Unis.
Q952404,drumline,attach,art music,BANDS & MARCHES,États-Unis.
Q115063561,pep band music,attach,art music,BANDS & MARCHES,États-Unis.
Q135965645,concertina band,attach,art music,BANDS & MARCHES,Royaume-Uni.
Q116875242,tanjidor music,attach,art music,BANDS & MARCHES,Fanfare de Jakarta.
Q226887,noh,attach,art music,EAST ASIAN COURT & THEATRE,Théâtre japonais.
Q1361891,jōruri,attach,art music,EAST ASIAN COURT & THEATRE,Théâtre de marionnettes japonais.
Q3080963,nagauta,attach,Japanese classical music,,Chant au shamisen.
Q11162353,jiuta,attach,Japanese classical music,,Chant au shamisen.
Q3129432,heikyoku,attach,Japanese classical music,,Récit chanté au biwa.
Q7497655,shinkyoku,attach,Japanese classical music,,Musique japonaise « nouvelle ».
Q134005844,sizhu music,attach,guoyue,,Ensemble chinois de soie et bambou.
Q85477,oratorio,attach,classical music,VOCAL & SACRED FORMS,Forme vocale sacrée.
Q9734,symphony,attach,symphonic music,,Forme orchestrale.
Q9748,concerto,attach,symphonic music,,Forme orchestrale.
Q632964,tiento,attach,classical music,KEYBOARD FORMS > COUNTERPOINT & IMPROVISATION,Forme d'orgue espagnole.
Q1808721,sound poetry,attach,experimental music,IMPROVISATION & PROCESS,Poésie sonore.
Q213608,beatboxing,attach,hip-hop,OLD SCHOOL & FOUNDATIONS,Technique vocale du hip-hop.
Q2407862,Americana,attach,country music,ALTERNATIVE & REGIONAL,Country et roots.
Q5179572,cowboy poetry,attach,country music,TRADITIONAL COUNTRY,Poésie cow-boy.
Q11787389,club/dance music,leave out,,,Catégorie fourre-tout : ses deux vrais genres sont rattachés un par un.
Q846119,psychedelic music,leave out,,,Doublon de psychedelic rock.
Q65937876,glam music,leave out,,,Doublon de glam rock.
Q13646229,gothic music,leave out,,,Doublon de gothic rock.
Q4940448,bomba,leave out,,,Doublon de la bomba portoricaine déjà dans Latin.
Q116690343,ballad,leave out,,,"Trop général : une forme, pas un genre."
Q639197,instrumental music,leave out,,,Trop général.
Q7248857,progressive music,leave out,,,Trop général.
Q140310844,music of the Indian subcontinent,leave out,,,"Une région, pas un genre."
Q1507298,lo-fi music,leave out,,,"Une esthétique d'enregistrement, pas un genre."
Q2111784,production music,leave out,,,"Musique d'illustration, pas un genre."
Q106582938,hopepunk music,leave out,,,Étiquette marginale née sur Internet.
Q106582953,steampunk music,attach,dark cabaret,,Proche du dark cabaret.
Q110249607,siffleur,leave out,,,"Une technique (le sifflement), pas un genre."
